"Rank","Player","TGT","REC","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"54","Luke Farrell (SF)","13","11","85","7.7","11","0","2","0","0","0","1","12","18.5","1.5","0.6%"
"55","Josh Oliver (MIN)","9","7","62","8.9","32","1","2","0","0","0","0","9","18.2","2.0","0.7%"
"56","Jeremy Ruckert (NYJ)","16","14","119","8.5","24","1","1","0","0","0","0","11","17.9","1.6","0.7%"
"57","Ja'Tavion Sanders (CAR)","30","25","176","7.0","18","0","0","0","0","0","0","9","17.6","2.0","2.0%"
"58","Taysom Hill (NO)","4","3","18","6.0","7","0","0","32","69","1","0","7","15.5","2.2","3.3%"
"59","Adam Trautman (DEN)","12","11","93","8.5","26","2","1","0","0","0","0","11","15.3","1.4","0.7%"
"60","Elijah Higgins (ARI)","20","16","162","10.1","27","2","0","0","0","0","1","11","14.2","1.3","0.6%"
"61","Luke Musgrave (GB)","18","15","140","9.3","23","3","0","0","0","0","0","12","14.0","1.2","3.8%"
"62","Noah Gray (KC)","28","16","132","8.3","28","1","0","0","0","0","0","11","13.2","1.2","1.4%"
"63","Mike Gesicki (CIN)","26","14","115","8.2","15","0","0","0","0","0","0","8","11.5","1.4","3.3%"
"64","Julian Hill (MIA)","14","11","91","8.3","19","0","0","0","0","0","0","8","11.1","1.4","0.6%"
"65","Nate Adkins (DEN)","10","6","48","8.0","16","0","1","0","0","0","0","6","10.8","1.8","1.0%"
"66","Drew Sample (CIN)","12","7","38","5.4","16","0","1","1","3","0","0","12","10.1","0.8","1.0%"
"67","John FitzPatrick (GB)","8","7","40","5.7","11","0","1","0","0","0","0","12","10.0","0.8","0.1%"
"68","Tyler Conklin (LAC)","9","6","95","15.8","33","2","0","1","2","0","0","8","9.7","1.2","0.9%"
"69","Jack Stoll (NO)","7","4","35","8.8","13","0","1","0","0","0","0","10","9.5","1.0","0.0%"
"70","Johnny Mundt (JAC)","17","8","95","11.9","21","1","0","0","0","0","0","11","9.5","0.9","0.0%"
"71","Ben Sinnott (WAS)","3","3","33","11.0","22","1","1","0","0","0","0","10","9.3","0.9","0.9%"
"72","Tanner Conner (MIA)","15","9","91","10.1","28","1","0","0","0","0","0","9","9.1","1.0","1.0%"
"73","Ian Thomas (LV)","10","10","89","8.9","20","1","0","0","0","0","0","11","8.9","0.8","0.0%"
"74","Greg Dulcich (MIA)","13","8","89","11.1","22","1","0","0","0","0","0","4","8.9","2.2","3.0%"
"75","Connor Heyward (PIT)","3","2","18","9.0","12","0","1","5","9","0","0","11","8.7","0.8","0.0%"
"76","Andrew Beck (NYJ)","5","4","26","6.5","10","0","1","0","0","0","0","11","8.6","0.8","0.0%"
"77","Brevyn Spann-Ford (DAL)","6","5","22","4.4","9","0","1","0","0","0","0","12","8.2","0.7","0.0%"
"78","Drew Ogletree (IND)","3","2","8","4.0","4","0","1","0","0","0","0","11","6.8","0.6","1.1%"
"79","Luke Schoonmaker (DAL)","17","9","64","7.1","14","0","0","0","0","0","0","12","6.4","0.5","0.6%"
"80","Josh Whyle (GB)","3","2","3","1.5","2","0","1","0","0","0","0","4","6.3","1.6","1.1%"
"81","John Bates (WAS)","10","6","62","10.3","22","1","0","0","0","0","0","9","6.2","0.7","0.6%"
"82","David Martin-Robinson (TEN)","1","1","1","1.0","1","0","1","0","0","0","0","9","6.1","0.7","0.0%"
"83","Mo Alie-Cox (IND)","9","5","59","11.8","20","1","0","0","0","0","0","11","5.9","0.5","0.6%"
"84","Grant Calcaterra (PHI)","8","5","48","9.6","16","0","0","0","0","0","0","9","4.8","0.5","0.6%"
"85","Will Dissly (LAC)","5","4","43","10.8","18","0","0","0","0","0","0","4","4.3","1.1","0.6%"
"86","Albert Okwuegbunam Jr. (LV)","6","5","36","7.2","16","0","0","0","0","0","0","1","3.6","3.6","0.0%"
