Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Position,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,CMP,ATT,YDS,Y/A,TD,SACKS,ATT.1,YDS.1,TD.1,FL,20+,TGT,REC,Y/R
40.0,Jameis Winston (NYG),,2.0,,,,,,2.0,44.2,22.1,5.1%,QB,,,56.9,,,,,,,,,37.0,65.0,567,8.7,2.0,3.0,7.0,23.0,1.0,1.0,,,,
41.0,Tyrod Taylor (NYJ),,4.0,,,,,,4.0,43.9,11.0,4.7%,QB,,,61.9,,,,,,,,,60.0,97.0,601,6.2,4.0,12.0,19.0,99.0,0.0,1.0,,,,
42.0,Tyler Shough (NO),,3.0,,,,,,5.0,43.4,8.7,8.2%,QB,,,64.3,,,,,,,,,81.0,126.0,829,6.6,3.0,10.0,15.0,33.0,0.0,1.0,,,,
43.0,Joe Burrow (CIN),,0.0,,,,,,3.0,35.0,11.7,91.4%,QB,,,54.9,,,,,,,,,45.0,82.0,450,5.5,4.0,6.0,5.0,11.0,0.0,0.0,,,,
44.0,Kirk Cousins (ATL),,1.0,,,,,,4.0,25.9,6.5,10.9%,QB,,,64.0,,,,,,,,,48.0,75.0,449,6.0,2.0,4.0,5.0,9.0,0.0,0.0,,,,
45.0,Tyler Huntley (BAL),,0.0,,,,,,2.0,23.3,11.7,0.6%,QB,,,73.0,,,,,,,,,27.0,37.0,254,6.9,1.0,6.0,11.0,92.0,0.0,0.0,,,,
46.0,Mason Rudolph (PIT),,1.0,,,,,,4.0,18.0,4.5,1.2%,QB,,,77.6,,,,,,,,,38.0,49.0,310,6.3,2.0,2.0,7.0,6.0,0.0,1.0,,,,
47.0,Shedeur Sanders (CLE),,2.0,,,,,,2.0,13.8,6.9,10.1%,QB,,,41.7,,,,,,,,,15.0,36.0,256,7.1,1.0,3.0,4.0,15.0,0.0,0.0,,,,
48.0,Andy Dalton (CAR),,1.0,,,,,,4.0,10.5,2.6,0.7%,QB,,,67.6,,,,,,,,,25.0,37.0,293,7.9,1.0,8.0,5.0,-2.0,0.0,2.0,,,,
49.0,Joe Milton III (DAL),,1.0,,,,,,2.0,6.9,3.5,0.7%,QB,,,66.7,,,,,,,,,6.0,9.0,99,11.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
50.0,Malik Willis (GB),,0.0,,,,,,2.0,6.4,3.2,0.7%,QB,,,100.0,,,,,,,,,3.0,3.0,13,4.3,1.0,0.0,3.0,19.0,0.0,0.0,,,,
51.0,Cooper Rush (BAL),,4.0,,,,,,4.0,5.8,1.5,0.7%,QB,,,65.4,,,,,,,,,34.0,52.0,303,5.8,0.0,1.0,4.0,-4.0,0.0,1.0,,,,
52.0,Trey Lance (LAC),,0.0,,,,,,2.0,4.5,2.3,0.6%,QB,,,50.0,,,,,,,,,6.0,12.0,81,6.8,0.0,2.0,4.0,12.0,0.0,0.0,,,,
53.0,Teddy Bridgewater (TB),,0.0,,,,,,4.0,2.9,0.7,0.9%,QB,,,53.3,,,,,,,,,8.0,15.0,62,4.1,0.0,2.0,3.0,4.0,0.0,0.0,,,,
54.0,Tyson Bagent (CHI),,0.0,,,,,,3.0,2.6,0.9,0.6%,QB,,,75.0,,,,,,,,,3.0,4.0,47,11.8,0.0,0.0,2.0,7.0,0.0,0.0,,,,
55.0,Mitchell Trubisky (BUF),,0.0,,,,,,3.0,2.3,0.8,0.6%,QB,,,50.0,,,,,,,,,3.0,6.0,54,9.0,0.0,0.0,4.0,1.0,0.0,0.0,,,,
56.0,Quinn Ewers (MIA),,0.0,,,,,,1.0,2.1,2.1,0.6%,QB,,,62.5,,,,,,,,,5.0,8.0,53,6.6,0.0,2.0,1.0,0.0,0.0,0.0,,,,
57.0,Zach Wilson (MIA),,0.0,,,,,,2.0,1.6,0.8,0.6%,QB,,,66.7,,,,,,,,,6.0,9.0,32,3.6,0.0,0.0,1.0,3.0,0.0,0.0,,,,
58.0,Max Brosmer (MIN),,0.0,,,,,,3.0,1.6,0.5,1.4%,QB,,,62.5,,,,,,,,,5.0,8.0,42,5.3,0.0,0.0,1.0,-1.0,0.0,0.0,,,,
59.0,Anthony Richardson Sr. (IND),,0.0,,,,,,2.0,1.2,0.6,5.7%,QB,,,50.0,,,,,,,,,1.0,2.0,9,4.5,0.0,0.0,4.0,-1.0,0.0,0.0,,,,
60.0,Feleipe Franks (ATL),,0.0,,,,,,8.0,0.4,0.1,0.0%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,,,,
61.0,Riley Leonard (IND),,0.0,,,,,,1.0,0.1,0.1,0.6%,QB,,,0.0,,,,,,,,,0.0,2.0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,
62.0,Joshua Dobbs (NE),,0.0,,,,,,2.0,0.1,0.0,1.0%,QB,,,50.0,,,,,,,,,1.0,2.0,12,6.0,0.0,0.0,5.0,-4.0,0.0,0.0,,,,
63.0,Drew Lock (SEA),,0.0,,,,,,3.0,0.1,0.0,1.9%,QB,,,66.7,,,,,,,,,2.0,3.0,15,5.0,0.0,0.0,5.0,-5.0,0.0,0.0,,,,
64.0,Will Levis (TEN),,0.0,,,,,,0.0,0.0,0.0,0.6%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
65.0,Malik Cunningham (DET),,0.0,,,,,,0.0,0.0,0.0,1.1%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
66.0,Sam Howell (PHI),,0.0,,,,,,0.0,0.0,0.0,0.7%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
67.0,Connor Bazelak (TB),,0.0,,,,,,0.0,0.0,0.0,0.0%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
68.0,Kyle McCord (PHI),,0.0,,,,,,0.0,0.0,0.0,1.0%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
69.0,DJ Uiagalelei (LAC),,0.0,,,,,,0.0,0.0,0.0,0.0%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
70.0,Emory Jones (ATL),,0.0,,,,,,0.0,0.0,0.0,0.0%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
71.0,Desmond Ridder (MIN),,0.0,,,,,,0.0,0.0,0.0,1.4%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
72.0,Kyle Trask (ATL),,0.0,,,,,,0.0,0.0,0.0,1.1%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
73.0,Sam Ehlinger (DEN),,0.0,,,,,,0.0,0.0,0.0,0.0%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
74.0,Sean Clifford (CIN),,0.0,,,,,,0.0,0.0,0.0,1.8%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
75.0,Hunter Dekkers (NO),,0.0,,,,,,0.0,0.0,0.0,0.0%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
76.0,Carter Bradley (JAC),,0.0,,,,,,0.0,0.0,0.0,0.0%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
77.0,John Rhys Plumlee (PIT),,0.0,,,,,,0.0,0.0,0.0,0.0%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
78.0,Will Howard (PIT),,0.0,,,,,,0.0,0.0,0.0,0.6%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
79.0,Tommy DeVito (NE),,0.0,,,,,,0.0,0.0,0.0,0.6%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
80.0,Garrett Greene (TB),,0.0,,,,,,0.0,0.0,0.0,0.0%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
81.0,Kurtis Rourke (SF),,0.0,,,,,,0.0,0.0,0.0,1.0%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
82.0,Brady Cook (NYJ),,0.0,,,,,,0.0,0.0,0.0,1.0%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
83.0,Cam Miller (LV),,0.0,,,,,,0.0,0.0,0.0,1.0%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
84.0,Stetson Bennett IV (LAR),,0.0,,,,,,1.0,0.0,0.0,1.0%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
85.0,Bailey Zappe (CLE),,0.0,,,,,,0.0,0.0,0.0,1.1%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
86.0,Skylar Thompson (PIT),,0.0,,,,,,0.0,0.0,0.0,3.8%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
87.0,Clayton Tune (GB),,0.0,,,,,,0.0,0.0,0.0,1.0%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
88.0,Jake Haener (NO),,0.0,,,,,,0.0,0.0,0.0,1.1%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
89.0,Aidan O'Connell (LV),,0.0,,,,,,0.0,0.0,0.0,1.0%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
90.0,Sam Hartman (WAS),,0.0,,,,,,0.0,0.0,0.0,0.0%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
91.0,Chris Oladokun (KC),,0.0,,,,,,0.0,0.0,0.0,0.0%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
92.0,Graham Mertz (HOU),,0.0,,,,,,0.0,0.0,0.0,0.0%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
93.0,Ben Chappell (WAS),,0.0,,,,,,0.0,0.0,0.0,0.0%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
94.0,Adam Froman (ATL),,0.0,,,,,,0.0,0.0,0.0,0.0%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
95.0,Hunter Cantwell (BAL),,0.0,,,,,,0.0,0.0,0.0,0.0%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
96.0,Case Keenum (CHI),,0.0,,,,,,0.0,0.0,0.0,1.0%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
97.0,Erik Ainge (NYJ),,0.0,,,,,,0.0,0.0,0.0,0.0%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
98.0,Josh Johnson (WAS),,0.0,,,,,,2.0,0.0,0.0,1.0%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
99.0,Brett Smith (TB),,0.0,,,,,,0.0,0.0,0.0,0.0%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
100.0,Mike White (CAR),,0.0,,,,,,0.0,0.0,0.0,1.1%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
101.0,John Wolford (MIN),,0.0,,,,,,0.0,0.0,0.0,0.0%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
102.0,Nick Mullens (JAC),,0.0,,,,,,1.0,0.0,0.0,1.8%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
103.0,Logan Woodside (FA),,0.0,,,,,,3.0,0.0,0.0,0.0%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
104.0,Shane Buechele (BUF),,0.0,,,,,,0.0,0.0,0.0,0.0%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
105.0,Will Grier (DAL),,0.0,,,,,,0.0,0.0,0.0,0.0%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
106.0,Brett Rypien (IND),,0.0,,,,,,1.0,0.0,0.0,0.0%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,
107.0,Easton Stick (ATL),,0.0,,,,,,0.0,0.0,0.0,0.0%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
108.0,C.J. Beathard (DET),,0.0,,,,,,0.0,0.0,0.0,0.0%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
109.0,Trevor Siemian (TEN),,0.0,,,,,,0.0,0.0,0.0,0.0%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
110.0,Deshaun Watson (CLE),,0.0,,,,,,0.0,0.0,0.0,0.6%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
111.0,Jeff Driskel (ARI),,0.0,,,,,,0.0,0.0,0.0,0.0%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
112.0,Brandon Allen (TEN),,0.0,,,,,,0.0,0.0,0.0,0.0%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
113.0,Adrian Martinez (SF),,0.0,,,,,,1.0,-0.1,-0.1,0.0%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,,,,
114.0,Jarrett Stidham (DEN),,0.0,,,,,,1.0,-0.1,-0.1,0.7%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,,,,
115.0,Kedon Slovis (ARI),,0.0,,,,,,2.0,-0.1,-0.1,0.0%,QB,,,50.0,,,,,,,,,1.0,2.0,-2,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
116.0,Tanner McKee (PHI),,0.0,,,,,,1.0,-0.2,-0.2,0.9%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,3.0,-2.0,0.0,0.0,,,,
117.0,Kyle Allen (DET),,0.0,,,,,,3.0,-0.3,-0.1,0.6%,QB,,,0.0,,,,,,,,,0.0,2.0,0,0.0,0.0,0.0,3.0,-3.0,0.0,0.0,,,,
118.0,Jimmy Garoppolo (LAR),,0.0,,,,,,3.0,-0.3,-0.1,0.9%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,3.0,-3.0,0.0,0.0,,,,
119.0,Gardner Minshew II (KC),,0.0,,,,,,2.0,-0.6,-0.3,0.6%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,5.0,-6.0,0.0,0.0,,,,
120.0,Jalen Milroe (SEA),,0.0,,,,,,4.0,-1.6,-0.4,1.3%,QB,,,0.0,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,3.0,4.0,0.0,1.0,,,,
121.0,Kenny Pickett (LV),,0.0,,,,,,2.0,-1.7,-0.9,1.1%,QB,,,66.7,,,,,,,,,2.0,3.0,8,2.7,0.0,0.0,1.0,0.0,0.0,1.0,,,,
,,,,,,,,,,,,,QB,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,QB,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,Jonathan Taylor (IND),,,,,,,,11.0,250.5,22.8,99.6%,RB,,,,83.0,,,,,,,,,205.0,"1,197",5.8,15.0,,,268.0,2.0,0.0,9.0,35.0,32.0,8.4
2.0,Christian McCaffrey (SF),,,,,,,,12.0,230.1,19.2,99.8%,RB,,,,20.0,,,,,,,,,217.0,796,3.7,7.0,,,785.0,5.0,0.0,1.0,103.0,81.0,9.7
3.0,Jahmyr Gibbs (DET),,,,,,,,12.0,219.6,18.3,99.9%,RB,,,,78.0,,,,,,,,,175.0,"1,019",5.8,10.0,,,397.0,3.0,0.0,10.0,59.0,51.0,7.8
4.0,De'Von Achane (MIA),,,,,,,,11.0,181.0,16.5,99.7%,RB,,,,59.0,,,,,,,,,164.0,900,5.5,5.0,,,370.0,4.0,0.0,9.0,71.0,54.0,6.9
5.0,James Cook III (BUF),,,,,,,,11.0,180.7,16.4,99.4%,RB,,,,64.0,,,,,,,,,199.0,"1,084",5.4,8.0,,,203.0,1.0,1.0,7.0,26.0,24.0,8.5
6.0,Bijan Robinson (ATL),,,,,,,,11.0,175.6,16.0,99.8%,RB,,,,81.0,,,,,,,,,172.0,853,5.0,4.0,,,543.0,2.0,1.0,4.0,61.0,49.0,11.1
7.0,Javonte Williams (DAL),,,,,,,,12.0,164.3,13.7,97.7%,RB,,,,66.0,,,,,,,,,198.0,955,4.8,8.0,,,128.0,2.0,2.0,5.0,42.0,31.0,4.1
8.0,Derrick Henry (BAL),,,,,,,,12.0,163.3,13.6,99.7%,RB,,,,59.0,,,,,,,,,197.0,931,4.7,10.0,,,142.0,0.0,2.0,7.0,18.0,14.0,10.1
9.0,Josh Jacobs (GB),,,,,,,,11.0,161.6,14.7,99.7%,RB,,,,29.0,,,,,,,,,186.0,731,3.9,11.0,,,245.0,0.0,1.0,1.0,36.0,29.0,8.4
10.0,Kyren Williams (LAR),,,,,,,,11.0,148.0,13.5,99.4%,RB,,,,34.0,,,,,,,,,170.0,796,4.7,6.0,,,184.0,3.0,2.0,3.0,32.0,24.0,7.7
11.0,Rico Dowdle (CAR),,,,,,,,12.0,146.4,12.2,72.9%,RB,,,,53.0,,,,,,,,,174.0,871,5.0,5.0,,,233.0,1.0,0.0,5.0,34.0,27.0,8.6
12.0,Travis Etienne Jr. (JAC),,,,,,,,11.0,139.5,12.7,93.0%,RB,,,,71.0,,,,,,,,,169.0,815,4.8,5.0,,,160.0,2.0,0.0,5.0,37.0,24.0,6.7
13.0,Ashton Jeanty (LV),,,,,,,,11.0,128.5,11.7,99.0%,RB,,,,64.0,,,,,,,,,166.0,604,3.6,4.0,,,221.0,4.0,1.0,1.0,46.0,37.0,6.0
14.0,Saquon Barkley (PHI),,,,,,,,11.0,128.3,11.7,99.8%,RB,,,,65.0,,,,,,,,,185.0,684,3.7,4.0,,,259.0,2.0,1.0,2.0,41.0,35.0,7.4
15.0,Breece Hall (NYJ),,,,,,,,11.0,124.9,11.4,97.9%,RB,,,,35.0,,,,,,,,,168.0,766,4.6,2.0,,,301.0,1.0,2.0,7.0,37.0,28.0,10.8
16.0,Chase Brown (CIN),,,,,,,,12.0,119.1,9.9,98.1%,RB,,,,37.0,,,,,,,,,160.0,704,4.4,2.0,,,287.0,1.0,0.0,5.0,64.0,48.0,6.0
17.0,Quinshon Judkins (CLE),,,,,,,,10.0,115.7,11.6,93.1%,RB,,,,46.0,,,,,,,,,173.0,667,3.9,7.0,,,70.0,0.0,0.0,4.0,20.0,14.0,5.0
18.0,D'Andre Swift (CHI),,,,,,,,10.0,113.3,11.3,93.8%,RB,,,,25.0,,,,,,,,,142.0,649,4.6,4.0,,,224.0,1.0,2.0,3.0,34.0,24.0,9.3
19.0,David Montgomery (DET),,,,,,,,12.0,109.5,9.1,94.4%,RB,,,,72.0,,,,,,,,,123.0,543,4.4,6.0,,,151.0,0.0,1.0,2.0,24.0,20.0,7.6
20.0,Kareem Hunt (KC),,,,,,,,12.0,108.9,9.1,53.8%,RB,,,,33.0,,,,,,,,,130.0,515,4.0,7.0,,,114.0,1.0,1.0,1.0,18.0,14.0,8.1
21.0,TreVeyon Henderson (NE),,,,,,,,12.0,107.8,9.0,96.0%,RB,,,,69.0,,,,,,,,,118.0,558,4.7,5.0,,,180.0,1.0,1.0,3.0,34.0,29.0,6.2
22.0,Kenneth Walker III (SEA),,,,,,,,11.0,107.4,9.8,95.6%,RB,,,,31.0,,,,,,,,,147.0,677,4.6,4.0,,,157.0,0.0,0.0,7.0,19.0,17.0,9.2
23.0,Jaylen Warren (PIT),,,,,,,,10.0,106.3,10.6,91.7%,RB,,,,37.0,,,,,,,,,141.0,604,4.3,3.0,,,219.0,1.0,0.0,3.0,28.0,25.0,8.8
24.0,J.K. Dobbins (DEN),,,,,,,,10.0,104.9,10.5,57.9%,RB,,,,41.0,,,,,,,,,153.0,772,5.0,4.0,,,37.0,0.0,0.0,5.0,14.0,11.0,3.4
25.0,Cam Skattebo (NYG),,,,,,,,8.0,103.7,13.0,31.9%,RB,,,,24.0,,,,,,,,,101.0,410,4.1,5.0,,,207.0,2.0,1.0,1.0,32.0,24.0,8.6
26.0,Zach Charbonnet (SEA),,,,,,,,10.0,87.2,8.7,75.9%,RB,,,,30.0,,,,,,,,,111.0,385,3.5,7.0,,,67.0,0.0,0.0,1.0,10.0,9.0,7.4
27.0,Jordan Mason (MIN),,,,,,,,11.0,85.5,7.8,67.3%,RB,,,,24.0,,,,,,,,,116.0,531,4.6,5.0,,,44.0,0.0,1.0,2.0,14.0,12.0,3.7
28.0,Kenneth Gainwell (PIT),,,,,,,,11.0,85.0,7.7,69.3%,RB,,,,55.0,,,,,,,,,71.0,336,4.7,3.0,,,234.0,2.0,1.0,1.0,48.0,42.0,5.6
29.0,Woody Marks (HOU),,,,,,,,11.0,84.7,7.7,78.9%,RB,,,,23.0,,,,,,,,,115.0,422,3.7,2.0,,,185.0,2.0,0.0,2.0,26.0,17.0,10.9
30.0,Rachaad White (TB),,,,,,,,11.0,80.2,7.3,65.4%,RB,,,,16.0,,,,,,,,,104.0,414,4.0,4.0,,,148.0,0.0,0.0,0.0,33.0,29.0,5.1
31.0,RJ Harvey (DEN),,,,,,,,11.0,79.9,7.3,88.2%,RB,,,,50.0,,,,,,,,,61.0,244,4.0,2.0,,,195.0,4.0,0.0,2.0,32.0,28.0,7.0
32.0,Kyle Monangai (CHI),,,,,,,,11.0,79.8,7.3,59.5%,RB,,,,39.0,,,,,,,,,99.0,461,4.7,4.0,,,97.0,0.0,0.0,2.0,16.0,10.0,9.7
33.0,Tyler Allgeier (ATL),,,,,,,,11.0,77.5,7.0,37.8%,RB,,,,21.0,,,,,,,,,89.0,324,3.6,7.0,,,31.0,0.0,0.0,1.0,9.0,8.0,3.9
34.0,Tony Pollard (TEN),,,,,,,,11.0,77.0,7.0,82.0%,RB,,,,21.0,,,,,,,,,140.0,522,3.7,2.0,,,168.0,0.0,2.0,1.0,32.0,26.0,6.5
35.0,Jacory Croskey-Merritt (WAS),,,,,,,,11.0,76.6,7.0,53.3%,RB,,,,42.0,,,,,,,,,114.0,498,4.4,4.0,,,68.0,0.0,2.0,2.0,13.0,9.0,7.6
36.0,Chuba Hubbard (CAR),,,,,,,,10.0,68.3,6.8,59.1%,RB,,,,14.0,,,,,,,,,94.0,350,3.7,1.0,,,153.0,2.0,0.0,0.0,30.0,21.0,7.3
37.0,Alvin Kamara (NO),,,,,,,,11.0,67.7,6.2,93.0%,RB,,,,18.0,,,,,,,,,131.0,471,3.6,1.0,,,186.0,0.0,2.0,0.0,39.0,33.0,5.6
38.0,Tyrone Tracy Jr. (NYG),,,,,,,,10.0,66.4,6.6,83.8%,RB,,,,31.0,,,,,,,,,103.0,398,3.9,1.0,,,206.0,0.0,0.0,1.0,30.0,21.0,9.8
39.0,Kimani Vidal (LAC),,,,,,,,8.0,64.9,8.1,64.4%,RB,,,,38.0,,,,,,,,,96.0,417,4.3,2.0,,,52.0,1.0,0.0,3.0,16.0,12.0,4.3
40.0,Emanuel Wilson (GB),,,,,,,,12.0,62.8,5.2,60.2%,RB,,,,15.0,,,,,,,,,85.0,341,4.0,3.0,,,87.0,0.0,0.0,0.0,15.0,13.0,6.7
41.0,Nick Chubb (HOU),,,,,,,,11.0,61.3,5.6,41.8%,RB,,,,27.0,,,,,,,,,105.0,435,4.1,2.0,,,58.0,0.0,0.0,2.0,19.0,12.0,4.8
42.0,Sean Tucker (TB),,,,,,,,11.0,61.1,5.6,31.2%,RB,,,,43.0,,,,,,,,,63.0,277,4.4,4.0,,,34.0,1.0,0.0,1.0,10.0,8.0,4.3
43.0,Rhamondre Stevenson (NE),,,,,,,,9.0,59.8,6.6,71.4%,RB,,,,22.0,,,,,,,,,89.0,284,3.2,3.0,,,174.0,0.0,3.0,2.0,21.0,17.0,10.2
44.0,Omarion Hampton (LAC),,,,,,,,5.0,57.0,11.4,91.7%,RB,,,,54.0,,,,,,,,,66.0,314,4.8,2.0,,,136.0,0.0,0.0,2.0,22.0,20.0,6.8
45.0,Bhayshul Tuten (JAC),,,,,,,,11.0,55.6,5.1,37.3%,RB,,,,15.0,,,,,,,,,67.0,255,3.8,3.0,,,61.0,1.0,0.0,0.0,12.0,8.0,7.6
46.0,Aaron Jones Sr. (MIN),,,,,,,,7.0,54.5,7.8,88.9%,RB,,,,31.0,,,,,,,,,61.0,297,4.9,1.0,,,128.0,1.0,0.0,1.0,26.0,16.0,8.0
47.0,Zonovan Knight (ARI),,,,,,,,9.0,53.9,6.0,30.0%,RB,,,,17.0,,,,,,,,,63.0,193,3.1,4.0,,,106.0,0.0,0.0,0.0,22.0,16.0,6.6
48.0,Bucky Irving (TB),,,,,,,,4.0,53.0,13.3,96.6%,RB,,,,16.0,,,,,,,,,71.0,237,3.3,0.0,,,193.0,2.0,1.0,0.0,19.0,19.0,10.2
49.0,Isiah Pacheco (KC),,,,,,,,9.0,52.5,5.8,77.3%,RB,,,,16.0,,,,,,,,,81.0,345,4.3,1.0,,,60.0,1.0,0.0,0.0,19.0,13.0,4.6
50.0,Chris Rodriguez Jr. (WAS),,,,,,,,9.0,46.5,5.2,25.1%,RB,,,,48.0,,,,,,,,,60.0,279,4.7,3.0,,,6.0,0.0,0.0,1.0,1.0,1.0,6.0
51.0,Devin Singletary (NYG),,,,,,,,12.0,45.0,3.8,32.9%,RB,,,,14.0,,,,,,,,,74.0,238,3.2,2.0,,,92.0,0.0,0.0,0.0,10.0,9.0,10.2
