Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Position,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,CMP,ATT,YDS,Y/A,TD,SACKS,ATT.1,YDS.1,TD.1,FL,20+,TGT,REC,Y/R
1.0,Jason Myers (SEA),,,,,,,,11.0,125.0,11.4,78.2%,K,24.0,29.0,82.8,57.0,0.0,4.0,8.0,7.0,5.0,36.0,36.0,,,,,,,,,,,,,,
2.0,Brandon Aubrey (DAL),,,,,,,,12.0,121.0,10.1,98.3%,K,22.0,24.0,91.7,64.0,0.0,7.0,3.0,6.0,6.0,37.0,38.0,,,,,,,,,,,,,,
3.0,Evan McPherson (CIN),,,,,,,,12.0,113.0,9.4,26.5%,K,23.0,26.0,88.5,63.0,0.0,4.0,6.0,9.0,4.0,27.0,27.0,,,,,,,,,,,,,,
4.0,Cameron Dicker (LAC),,,,,,,,11.0,112.0,10.2,89.2%,K,25.0,27.0,92.6,59.0,0.0,4.0,10.0,8.0,3.0,23.0,23.0,,,,,,,,,,,,,,
5.0,Chris Boswell (PIT),,,,,,,,11.0,108.0,9.8,88.8%,K,19.0,22.0,86.4,60.0,0.0,2.0,2.0,8.0,7.0,29.0,29.0,,,,,,,,,,,,,,
6.0,Ka'imi Fairbairn (HOU),,,,,,,,9.0,107.0,11.9,47.8%,K,25.0,28.0,89.3,57.0,0.0,4.0,8.0,8.0,5.0,14.0,14.0,,,,,,,,,,,,,,
7.0,Eddy Pineiro (SF),,,,,,,,10.0,104.0,10.4,14.5%,K,22.0,22.0,100.0,59.0,0.0,4.0,4.0,8.0,6.0,18.0,22.0,,,,,,,,,,,,,,
8.0,Tyler Loop (BAL),,,,,,,,12.0,104.0,8.7,82.7%,K,22.0,24.0,91.7,52.0,0.0,7.0,7.0,7.0,1.0,29.0,30.0,,,,,,,,,,,,,,
9.0,Will Reichard (MIN),,,,,,,,11.0,101.0,9.2,27.3%,K,21.0,23.0,91.3,62.0,0.0,4.0,6.0,3.0,8.0,19.0,19.0,,,,,,,,,,,,,,
10.0,Andy Borregales (NE),,,,,,,,12.0,101.0,8.4,39.2%,K,19.0,21.0,90.5,53.0,2.0,3.0,6.0,5.0,3.0,33.0,35.0,,,,,,,,,,,,,,
11.0,Harrison Butker (KC),,,,,,,,12.0,100.0,8.3,75.3%,K,21.0,24.0,87.5,59.0,1.0,7.0,7.0,3.0,3.0,28.0,32.0,,,,,,,,,,,,,,
12.0,Jake Bates (DET),,,,,,,,12.0,100.0,8.3,92.3%,K,16.0,20.0,80.0,59.0,0.0,4.0,4.0,4.0,4.0,40.0,42.0,,,,,,,,,,,,,,
13.0,Chase McLaughlin (TB),,,,,,,,11.0,100.0,9.1,78.6%,K,20.0,24.0,83.3,65.0,0.0,3.0,6.0,3.0,8.0,21.0,22.0,,,,,,,,,,,,,,
14.0,Cam Little (JAC),,,,,,,,11.0,95.0,8.6,55.5%,K,18.0,22.0,81.8,68.0,0.0,3.0,6.0,4.0,5.0,27.0,28.0,,,,,,,,,,,,,,
15.0,Joey Slye (TEN),,,,,,,,10.0,93.0,9.3,1.4%,K,20.0,25.0,80.0,57.0,0.0,2.0,5.0,6.0,7.0,13.0,14.0,,,,,,,,,,,,,,
16.0,Nick Folk (NYJ),,,,,,,,11.0,91.0,8.3,4.4%,K,20.0,20.0,100.0,58.0,0.0,4.0,5.0,6.0,5.0,15.0,15.0,,,,,,,,,,,,,,
17.0,Cairo Santos (CHI),,,,,,,,9.0,88.0,9.8,28.5%,K,17.0,21.0,81.0,54.0,0.0,2.0,6.0,6.0,3.0,25.0,25.0,,,,,,,,,,,,,,
18.0,Chad Ryland (ARI),,,,,,,,11.0,86.0,7.8,3.5%,K,17.0,21.0,81.0,57.0,0.0,4.0,5.0,6.0,2.0,25.0,25.0,,,,,,,,,,,,,,
19.0,Matt Prater (BUF),,,,,,,,11.0,85.0,7.7,51.6%,K,15.0,17.0,88.2,52.0,0.0,2.0,6.0,6.0,1.0,32.0,34.0,,,,,,,,,,,,,,
20.0,Wil Lutz (DEN),,,,,,,,11.0,83.0,7.5,24.8%,K,17.0,20.0,85.0,57.0,0.0,4.0,8.0,2.0,3.0,24.0,24.0,,,,,,,,,,,,,,
21.0,Riley Patterson (MIA),,,,,,,,11.0,83.0,7.5,1.6%,K,17.0,19.0,89.5,49.0,0.0,3.0,5.0,9.0,0.0,23.0,24.0,,,,,,,,,,,,,,
22.0,Matt Gay (SF),,,,,,,,11.0,83.0,7.5,19.0%,K,15.0,21.0,71.4,56.0,0.0,3.0,2.0,6.0,4.0,24.0,24.0,,,,,,,,,,,,,,
23.0,Ryan Fitzgerald (CAR),,,,,,,,12.0,79.0,6.6,3.6%,K,18.0,22.0,81.8,57.0,0.0,5.0,6.0,5.0,2.0,16.0,19.0,,,,,,,,,,,,,,
24.0,Blake Grupe (FA),,,,,,,,11.0,77.0,7.0,0.8%,K,18.0,26.0,69.2,54.0,0.0,7.0,6.0,2.0,3.0,15.0,15.0,,,,,,,,,,,,,,
25.0,Andre Szmyt (CLE),,,,,,,,11.0,75.0,6.8,0.8%,K,16.0,19.0,84.2,55.0,0.0,2.0,8.0,3.0,3.0,18.0,19.0,,,,,,,,,,,,,,
26.0,Brandon McManus (GB),,,,,,,,9.0,74.0,8.2,11.5%,K,15.0,21.0,71.4,56.0,0.0,4.0,6.0,3.0,2.0,22.0,23.0,,,,,,,,,,,,,,
27.0,Jake Elliott (PHI),,,,,,,,11.0,72.0,6.5,61.6%,K,11.0,14.0,78.6,58.0,0.0,1.0,4.0,3.0,3.0,30.0,30.0,,,,,,,,,,,,,,
28.0,Daniel Carlson (LV),,,,,,,,11.0,71.0,6.5,10.6%,K,16.0,21.0,76.2,54.0,0.0,4.0,5.0,4.0,3.0,13.0,14.0,,,,,,,,,,,,,,
29.0,Joshua Karty (FA),,,,,,,,8.0,58.0,7.3,5.7%,K,10.0,15.0,66.7,51.0,0.0,3.0,3.0,3.0,1.0,23.0,26.0,,,,,,,,,,,,,,
30.0,Spencer Shrader (IND),,,,,,,,5.0,57.0,11.4,1.7%,K,13.0,14.0,92.9,52.0,0.0,5.0,5.0,2.0,1.0,14.0,14.0,,,,,,,,,,,,,,
31.0,Michael Badgley (IND),,,,,,,,6.0,51.0,8.5,20.1%,K,9.0,10.0,90.0,53.0,0.0,1.0,3.0,3.0,2.0,17.0,19.0,,,,,,,,,,,,,,
32.0,Parker Romo (FA),,,,,,,,7.0,48.0,6.9,0.8%,K,11.0,14.0,78.6,54.0,0.0,2.0,7.0,1.0,1.0,12.0,13.0,,,,,,,,,,,,,,
33.0,Graham Gano (NYG),,,,,,,,5.0,39.0,7.8,0.7%,K,9.0,10.0,90.0,55.0,0.0,3.0,4.0,1.0,1.0,9.0,9.0,,,,,,,,,,,,,,
34.0,Jake Moody (WAS),,,,,,,,3.0,35.0,11.7,5.8%,K,9.0,12.0,75.0,48.0,0.0,2.0,4.0,3.0,0.0,5.0,5.0,,,,,,,,,,,,,,
35.0,Zane Gonzalez (ATL),,,,,,,,3.0,33.0,11.0,4.3%,K,6.0,6.0,100.0,56.0,0.0,0.0,0.0,3.0,3.0,6.0,6.0,,,,,,,,,,,,,,
36.0,Younghoe Koo (NYG),,,,,,,,4.0,29.0,7.3,20.3%,K,6.0,7.0,85.7,44.0,1.0,1.0,2.0,2.0,0.0,9.0,10.0,,,,,,,,,,,,,,
37.0,Harrison Mevis (LAR),,,,,,,,3.0,22.0,7.3,9.4%,K,2.0,2.0,100.0,52.0,0.0,0.0,0.0,1.0,1.0,13.0,13.0,,,,,,,,,,,,,,
38.0,Lucas Havrisik (FA),,,,,,,,3.0,22.0,7.3,0.9%,K,4.0,4.0,100.0,61.0,0.0,0.0,2.0,1.0,1.0,7.0,9.0,,,,,,,,,,,,,,
39.0,Matthew Wright (FA),,,,,,,,4.0,22.0,5.5,0.6%,K,5.0,5.0,100.0,46.0,0.0,1.0,1.0,3.0,0.0,4.0,4.0,,,,,,,,,,,,,,
40.0,Jude McAtamney (FA),,,,,,,,4.0,15.0,3.8,0.6%,K,2.0,2.0,100.0,31.0,0.0,1.0,1.0,0.0,0.0,9.0,12.0,,,,,,,,,,,,,,
41.0,Tyler Bass (BUF),,,,,,,,0.0,0.0,0.0,26.7%,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
42.0,Jason Sanders (MIA),,,,,,,,0.0,0.0,0.0,5.0%,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
43.0,Ben Sauls (NYG),,,,,,,,0.0,0.0,0.0,0.0%,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
44.0,Greg Joseph (LV),,,,,,,,0.0,0.0,0.0,1.1%,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
45.0,Lenny Krieg (ATL),,,,,,,,0.0,0.0,0.0,1.0%,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
46.0,Cade York (NO),,,,,,,,0.0,0.0,0.0,3.5%,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
47.0,Charlie Smyth (NO),,,,,,,,0.0,0.0,0.0,1.3%,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
48.0,Zac Derr (ATL),,,,,,,,0.0,0.0,0.0,0.0%,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
49.0,Steven Weatherford (NYJ),,,,,,,,0.0,0.0,0.0,0.0%,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
50.0,Ricky Schmit (SF),,,,,,,,0.0,0.0,0.0,0.0%,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
51.0,Piotr Czech (PIT),,,,,,,,0.0,0.0,0.0,0.0%,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
52.0,Jason Reda (CLE),,,,,,,,0.0,0.0,0.0,0.0%,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
53.0,Garrett Rivas (TB),,,,,,,,0.0,0.0,0.0,0.0%,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
54.0,Carlos Martinez (DAL),,,,,,,,0.0,0.0,0.0,0.0%,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
55.0,Andrew Wellock (CAR),,,,,,,,0.0,0.0,0.0,0.0%,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
