"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","TGT","REC","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"46","Aaron Jones Sr. (MIN)","61","297","4.9","31","1","1","26","16","128","8.0","1","0","7","54.5","7.8","88.9%"
"47","Zonovan Knight (ARI)","63","193","3.1","17","0","4","22","16","106","6.6","0","0","9","53.9","6.0","30.0%"
"48","Bucky Irving (TB)","71","237","3.3","16","0","0","19","19","193","10.2","2","1","4","53.0","13.3","96.6%"
"49","Isiah Pacheco (KC)","81","345","4.3","16","0","1","19","13","60","4.6","1","0","9","52.5","5.8","77.3%"
"50","Chris Rodriguez Jr. (WAS)","60","279","4.7","48","1","3","1","1","6","6.0","0","0","9","46.5","5.2","25.1%"
"51","Devin Singletary (NYG)","74","238","3.2","14","0","2","10","9","92","10.2","0","0","12","45.0","3.8","32.9%"
"52","Justice Hill (BAL)","18","93","5.2","71","1","2","27","21","169","8.0","1","0","10","44.2","4.4","10.3%"
"53","Brian Robinson Jr. (SF)","64","302","4.7","19","0","2","10","7","19","2.7","0","0","12","44.1","3.7","44.7%"
"54","Blake Corum (LAR)","82","341","4.2","21","1","1","10","5","10","2.0","0","0","11","41.1","3.7","16.5%"
"55","Dylan Sampson (CLE)","38","89","2.3","26","1","0","28","23","195","8.5","2","0","11","40.4","3.7","12.0%"
"56","Jeremy McNichols (WAS)","26","181","7.0","60","1","1","20","15","149","9.9","0","0","11","39.0","3.5","1.8%"
"57","Ollie Gordon II (MIA)","50","164","3.3","20","1","2","8","6","30","5.0","1","0","11","37.4","3.4","10.0%"
"58","Ty Johnson (BUF)","21","90","4.3","17","0","1","16","11","161","14.6","1","0","11","37.1","3.4","4.2%"
"59","Tyjae Spears (TEN)","37","159","4.3","41","1","1","24","22","148","6.7","0","0","7","36.7","5.2","41.5%"
"60","Emari Demercado (ARI)","31","241","7.8","71","2","0","12","8","64","8.0","1","1","9","34.5","3.8","13.9%"
"61","Michael Carter (ARI)","45","135","3.0","11","0","1","22","17","129","7.6","0","0","7","32.4","4.6","8.3%"
"62","Samaje Perine (CIN)","46","237","5.2","32","2","1","11","9","45","5.0","0","2","10","30.2","3.0","3.1%"
"63","Kendre Miller (NO)","47","193","4.1","18","0","1","5","5","30","6.0","0","0","7","28.3","4.0","4.0%"
"64","Isaiah Davis (NYJ)","26","137","5.3","50","1","0","21","15","118","7.9","0","0","11","27.5","2.5","7.1%"
"65","Keaton Mitchell (BAL)","25","153","6.1","25","2","1","9","7","56","8.0","0","0","8","26.9","3.4","5.6%"
"66","James Conner (ARI)","32","95","3.0","12","0","1","9","8","38","4.8","1","0","4","25.3","6.3","46.5%"
