"Rank","Player","TGT","REC","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"143","Malachi Corley (CLE)","6","5","34","6.8","17","0","0","5","68","0","0","7","10.2","1.5","1.1%"
"144","Konata Mumpfield (LAR)","7","4","37","9.3","14","0","1","0","0","0","0","11","9.7","0.9","1.0%"
"145","Ryan Miller (TB)","4","2","34","17.0","20","1","1","0","0","0","0","11","9.4","0.9","1.0%"
"146","Casey Washington (ATL)","14","6","94","15.7","25","1","0","0","0","0","0","7","9.4","1.3","0.0%"
"147","Jack Bech (LV)","12","8","92","11.5","23","1","0","0","0","0","0","11","9.2","0.8","2.7%"
"148","Adam Thielen (MIN)","18","8","69","8.6","19","0","0","0","0","0","0","11","8.9","0.8","5.4%"
"149","Nick Westbrook-Ikhine (MIA)","19","11","89","8.1","18","0","0","0","0","0","0","11","8.9","0.8","1.1%"
"150","Malik Heath (GB)","7","6","86","14.3","37","1","0","0","0","0","0","11","8.6","0.8","0.6%"
"151","Xavier Smith (LAR)","10","7","85","12.1","36","1","0","0","0","0","0","10","8.5","0.9","0.6%"
"152","Treylon Burks (WAS)","4","4","72","18.0","37","1","0","0","0","0","0","2","7.2","3.6","0.6%"
"153","Ray-Ray McCloud III (NYG)","15","7","69","9.9","24","1","0","0","0","0","0","6","6.9","1.2","0.9%"
"154","Skyy Moore (SF)","6","4","64","16.0","21","1","0","1","1","0","0","12","6.5","0.5","1.9%"
"155","Bo Melton (GB)","6","2","28","14.0","18","0","0","4","35","0","0","11","6.3","0.6","1.5%"
"156","Gabe Davis (BUF)","6","4","62","15.5","22","2","0","0","0","0","0","2","6.2","3.1","1.1%"
"157","Chris Godwin Jr. (TB)","18","8","61","7.6","13","0","0","0","0","0","0","3","6.1","2.0","65.5%"
"158","Charlie Jones (CIN)","1","0","0","0","0","0","0","0","0","0","0","12","6.0","0.5","0.8%"
"159","Arian Smith (NYJ)","10","6","47","7.8","23","1","0","3","11","0","0","11","5.8","0.5","0.7%"
"160","Lil'Jordan Humphrey (DEN)","10","4","55","13.8","34","1","0","0","0","0","0","4","5.5","1.4","0.7%"
"161","Robbie Chosen (FA)","9","5","53","10.6","17","0","0","0","0","0","0","3","5.3","1.8","0.0%"
"162","Dareke Young (SEA)","2","2","48","24.0","36","1","0","0","0","0","0","6","4.8","0.8","0.0%"
"163","Austin Trammell (JAC)","6","3","46","15.3","18","0","0","0","0","0","0","4","4.6","1.2","0.0%"
"164","James Proche II (TEN)","3","3","42","14.0","23","1","0","0","0","0","0","3","4.2","1.4","0.0%"
"165","Dee Eskridge (MIA)","7","4","62","15.5","40","1","0","0","0","0","1","9","4.2","0.5","0.0%"
"166","Marquez Valdes-Scantling (PIT)","8","4","40","10.0","19","0","0","0","0","0","0","5","4.0","0.8","0.6%"
"167","Braxton Berrios (HOU)","8","6","37","6.2","14","0","0","0","0","0","0","4","3.7","0.9","0.6%"
"168","Noah Brown (WAS)","7","3","36","12.0","18","0","0","0","0","0","0","2","3.6","1.8","0.8%"
"169","Tom Kennedy (DET)","4","4","36","9.0","23","1","0","0","0","0","0","1","3.6","3.6","0.0%"
"170","Jalin Hyatt (NYG)","13","5","35","7.0","14","0","0","0","0","0","0","7","3.5","0.5","0.9%"
"171","Mason Tipton (NO)","6","3","22","7.3","9","0","0","1","11","0","0","9","3.3","0.4","0.7%"
"172","Nikko Remigio (KC)","1","1","21","21.0","21","1","0","1","11","0","0","12","3.2","0.3","0.6%"
"173","KhaDarel Hodge (ATL)","10","3","31","10.3","16","0","0","0","0","0","0","10","3.1","0.3","0.7%"
"174","Justin Watson (HOU)","4","3","30","10.0","15","0","0","0","0","0","0","2","3.0","1.5","1.8%"
"175","Xavier Restrepo (TEN)","6","2","26","13.0","14","0","0","0","0","0","0","1","2.6","2.6","0.8%"
