"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"53","Adrian Martinez (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"54","Sam Howell (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"55","Kyle McCord (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"56","Will Levis (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"57","Kenny Pickett (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"58","Davis Mills (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"59","Connor Bazelak (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"60","DJ Uiagalelei (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"61","Emory Jones (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"62","Feleipe Franks (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"63","Trey Lance (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"64","Desmond Ridder (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4%"
"65","Sam Ehlinger (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"66","Sean Clifford (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.8%"
"67","Hunter Dekkers (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"68","Will Howard (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"69","Carter Bradley (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"70","Riley Leonard (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"71","Shedeur Sanders (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.9%"
"72","Tommy DeVito (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"73","Kurtis Rourke (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"74","Brady Cook (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"75","Cam Miller (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"76","Clayton Tune (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"77","Garrett Greene (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"78","Quinn Ewers (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"79","Stetson Bennett IV (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"80","Bailey Zappe (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"81","Skylar Thompson (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.8%"
"82","Tyler Shough (NO)","0","2","0.0","0","0.0","0","0","0","0","0","0","0","1","0.0","0.0","1.6%"
"83","Graham Mertz (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"84","Malik Willis (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"85","Jake Haener (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"86","Tanner McKee (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"87","Aidan O'Connell (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.9%"
"88","Hendon Hooker (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"89","Sam Hartman (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"90","Chris Oladokun (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"91","Kedon Slovis (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"92","Ben Chappell (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"93","Adam Froman (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"94","Hunter Cantwell (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"95","Teddy Bridgewater (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"96","Case Keenum (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"97","Erik Ainge (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"98","Jimmy Garoppolo (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.9%"
"99","Josh Johnson (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"100","Brett Smith (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"101","Mike White (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"102","Nick Mullens (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.8%"
"103","Logan Woodside (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"104","Will Grier (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"105","Tyler Huntley (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"106","Shane Buechele (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"107","Jarrett Stidham (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"108","Brett Rypien (CIN)","0","0","0","0","0","0","0","1","0","0","0","0","1","0.0","0.0","0.0%"
"109","Easton Stick (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"110","Jameis Winston (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"111","C.J. Beathard (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"112","Trevor Siemian (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"113","Deshaun Watson (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"114","Jeff Driskel (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"115","Brandon Allen (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"116","Anthony Richardson Sr. (IND)","0","0","0","0","0","0","0","0","4","-1","0","0","1","-0.1","-0.1","6.2%"
"117","Kyle Allen (DET)","0","0","0","0","0","0","0","0","2","-2","0","0","2","-0.2","-0.1","0.6%"
"118","Joshua Dobbs (NE)","0","1","0.0","0","0.0","0","0","0","3","-2","0","0","1","-0.2","-0.2","1.0%"
"119","Gardner Minshew II (KC)","0","0","0","0","0","0","0","0","2","-3","0","0","1","-0.3","-0.3","0.6%"
""
""
