"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","TGT","REC","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"94","Adam Prentice (DEN)","1","4","4.0","4","0","0","1","1","4","4.0","0","0","4","0.8","0.2","0.0%"
"95","Hunter Luepke (DAL)","1","6","6.0","6","0","0","1","0","0","0","0","0","4","0.6","0.2","0.6%"
"96","Dare Ogunbowale (HOU)","2","9","4.5","7","0","0","2","2","17","8.5","0","1","4","0.6","0.2","0.7%"
"97","Tyler Goodson (IND)","2","6","3.0","4","0","0","1","1","0","0.0","0","0","2","0.6","0.3","0.7%"
"98","Rasheen Ali (BAL)","1","5","5.0","5","0","0","0","0","0","0","0","0","4","0.5","0.1","0.6%"
"99","Dameon Pierce (HOU)","3","5","1.7","2","0","0","1","0","0","0","0","0","1","0.5","0.5","3.5%"
"100","Craig Reynolds (DET)","3","4","1.3","3","0","0","0","0","0","0","0","0","3","0.4","0.1","0.6%"
"101","Sean Tucker (TB)","1","2","2.0","2","0","0","0","0","0","0","0","0","4","0.2","0.1","2.7%"
"102","Michael Carter (ARI)","1","1","1.0","1","0","0","0","0","0","0","0","0","1","0.1","0.1","1.1%"
"103","Elijah Mitchell (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"104","Khalil Herbert (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"105","Javian Hawkins (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"106","JaMycal Hasty (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"107","Reggie Gilliam (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"108","Clyde Edwards-Helaire (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"109","D'Ernest Johnson (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"110","Patrick Taylor Jr. (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3%"
"111","DeeJay Dallas (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"112","Ty Chandler (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.9%"
"113","Salvon Ahmed (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"114","Trey Sermon (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"115","Jaylen Wright (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.6%"
"116","Frank Gore Jr. (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"117","Jaleel McLaughlin (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"118","Isaac Guerendo (SF)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","6.2%"
"119","Blake Watson (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"120","Carson Steele (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"121","Kimani Vidal (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"122","Jawhar Jordan (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"123","Sione Vaki (DET)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.1%"
"124","Cody Schrader (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
