"Rank","Player","TGT","REC","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"133","Josh Reynolds (NYJ)","5","2","18","9.0","13","0","0","0","0","0","0","2","1.8","0.9","1.7%"
"134","Chimere Dike (TEN)","10","5","1","0.2","8","0","0","6","17","0","0","4","1.8","0.5","1.0%"
"135","Pat Bryant (DEN)","4","2","18","9.0","12","0","0","0","0","0","0","4","1.8","0.5","2.6%"
"136","Kyle Williams (NE)","2","2","20","10.0","12","0","0","1","-2","0","0","4","1.8","0.5","5.1%"
"137","Jamari Thrash (CLE)","5","4","18","4.5","6","0","0","0","0","0","0","4","1.8","0.5","0.7%"
"138","John Metchie III (PHI)","4","4","18","4.5","8","0","0","0","0","0","0","4","1.8","0.5","0.8%"
"139","Jake Bobo (SEA)","1","1","17","17.0","17","0","0","0","0","0","0","3","1.7","0.6","0.8%"
"140","Dee Eskridge (MIA)","3","2","17","8.5","9","0","0","0","0","0","0","4","1.7","0.4","0.0%"
"141","David Moore (CAR)","1","1","5","5.0","5","0","0","1","12","0","0","4","1.7","0.4","0.8%"
"142","Tim Patrick (JAC)","3","2","15","7.5","16","0","0","0","0","0","0","4","1.5","0.4","1.1%"
"143","Tay Martin (WAS)","1","1","14","14.0","14","0","0","0","0","0","0","1","1.4","1.4","0.0%"
"144","Tez Johnson (TB)","3","1","8","8.0","8","0","0","1","5","0","0","3","1.3","0.4","0.6%"
"145","Dareke Young (SEA)","1","1","12","12.0","12","0","0","0","0","0","0","3","1.2","0.4","0.0%"
"146","Jaylin Noel (HOU)","4","3","9","3.0","7","0","0","1","2","0","0","4","1.1","0.3","1.7%"
"147","Skyy Moore (SF)","2","1","10","10.0","10","0","0","0","0","0","0","4","1.0","0.3","1.9%"
"148","Tai Felton (MIN)","1","1","9","9.0","9","0","0","0","0","0","0","3","0.9","0.3","0.6%"
"149","Marquez Valdes-Scantling (SF)","2","1","9","9.0","9","0","0","0","0","0","0","3","0.9","0.3","0.6%"
"150","David Sills V (ATL)","2","1","9","9.0","9","0","0","0","0","0","0","4","0.9","0.2","0.0%"
"151","Curtis Samuel (BUF)","2","1","9","9.0","9","0","0","0","0","0","0","1","0.9","0.9","1.1%"
"152","Xavier Legette (CAR)","15","4","8","2.0","9","0","0","1","0","0","0","2","0.8","0.4","19.6%"
"153","Bryce Oliver (TEN)","1","1","8","8.0","8","0","0","0","0","0","0","2","0.8","0.4","0.0%"
"154","Roman Wilson (PIT)","2","1","7","7.0","7","0","0","0","0","0","0","4","0.7","0.2","1.5%"
"155","Trent Sherfield Sr. (DEN)","2","2","6","3.0","3","0","0","0","0","0","0","4","0.6","0.2","0.0%"
"156","Cody White (SEA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"157","Gunner Olszewski (NYG)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"158","Chris Tyree (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"159","Kevin Austin Jr. (NO)","1","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"160","Jonathan Mingo (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"161","Alex Bachman (LV)","1","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"162","Cornelius Johnson (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"163","AJ Henning (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"164","Rashee Rice (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","87.4%"
"165","Ainias Smith (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"166","David Bell (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"167","Tom Kennedy (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"168","Chris Blair (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"169","Javon Baker (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"170","Malik Cunningham (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"171","Arian Smith (NYJ)","4","3","10","3.3","8","0","0","1","-10","0","0","4","0.0","0.0","0.6%"
"172","Jermaine Burton (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"173","Ja'Corey Brooks (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"174","Treylon Burks (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"175","Traeshon Holden (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"176","D.J. Montgomery (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"177","Beaux Collins (NYG)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"178","Seth Williams (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"179","Ihmir Smith-Marsette (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"180","Kristian Wilkerson (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"181","Lawrence Cager (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"182","Mason Kinsey (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"183","Quez Watkins (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"184","Rondale Moore (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"185","Dan Chisena (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"186","Andre Baccellia (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"187","Brandon Aiyuk (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","51.0%"
"188","Devin Duvernay (CHI)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.6%"
"189","Gabe Davis (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"190","James Proche II (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"191","Isaiah Hodgins (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"192","Quintez Cephus (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"193","Jeshaun Jones (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"194","Mason Tipton (NO)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.3%"
"195","JaQuae Jackson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"196","Tejhaun Palmer (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"197","Anthony Gould (IND)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","1.0%"
"198","Dayton Wade (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"199","Kameron Johnson (TB)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"200","Jalen Coker (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.0%"
"201","John Jiles (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"202","Isaiah Neyor (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"203","Malachi Corley (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"204","Dominic Lovett (DET)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","1.0%"
"205","John Stephens Jr. (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"206","Dylan Drummond (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"207","Bub Means (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"208","Joshua Cephus (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"209","Tahj Washington (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
