"Rank","Player","TGT","REC","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"56","Colston Loveland (CHI)","6","3","43","14.3","31","1","0","0","0","0","0","3","4.3","1.4","40.3%"
"57","Luke Musgrave (GB)","4","4","42","10.5","23","1","0","0","0","0","0","4","4.2","1.1","1.2%"
"58","Darnell Washington (PIT)","4","3","20","6.7","8","0","0","0","0","0","0","4","4.0","1.0","1.0%"
"59","Dawson Knox (BUF)","8","4","39","9.8","12","0","0","0","0","0","0","4","3.9","1.0","1.2%"
"60","Cade Otton (TB)","11","6","34","5.7","12","0","0","0","0","0","0","4","3.4","0.9","12.3%"
"61","Tanner Conner (MIA)","6","3","33","11.0","14","0","0","0","0","0","0","4","3.3","0.8","1.0%"
"62","Daniel Bellinger (NYG)","3","3","33","11.0","14","0","0","0","0","0","0","4","3.3","0.8","0.6%"
"63","Mo Alie-Cox (IND)","2","2","28","14.0","20","1","0","0","0","0","0","4","2.8","0.7","0.6%"
"64","Will Dissly (LAC)","2","2","25","12.5","18","0","0","0","0","0","0","2","2.5","1.3","0.7%"
"65","Grant Calcaterra (PHI)","4","2","22","11.0","16","0","0","0","0","0","0","4","2.2","0.6","0.6%"
"66","Noah Gray (KC)","13","6","22","3.7","10","0","0","0","0","0","0","4","2.2","0.6","1.5%"
"67","Cade Stover (HOU)","4","4","22","5.5","10","0","0","0","0","0","0","1","2.2","2.2","0.6%"
"68","Charlie Kolar (BAL)","3","2","22","11.0","15","0","0","0","0","0","0","4","2.2","0.6","0.1%"
"69","Tip Reiman (ARI)","4","3","18","6.0","10","0","0","0","0","0","0","4","1.8","0.5","0.0%"
"70","James Mitchell (CAR)","2","2","17","8.5","9","0","0","0","0","0","0","1","1.7","1.7","0.0%"
"71","Lucas Krull (DEN)","4","2","15","7.5","9","0","0","0","0","0","0","3","1.5","0.5","1.8%"
"72","Luke Schoonmaker (DAL)","6","3","13","4.3","5","0","0","0","0","0","0","4","1.3","0.3","0.6%"
"73","Eric Saubert (SEA)","1","1","12","12.0","12","0","0","0","0","0","0","4","1.2","0.3","1.8%"
"74","Connor Heyward (PIT)","1","1","6","6.0","6","0","0","1","2","0","0","4","0.8","0.2","0.0%"
"75","Chris Manhertz (NYG)","1","1","7","7.0","7","0","0","0","0","0","0","4","0.7","0.2","0.0%"
"76","Ben Sinnott (WAS)","1","1","7","7.0","7","0","0","0","0","0","0","4","0.7","0.2","1.1%"
"77","Johnny Mundt (JAC)","3","1","7","7.0","7","0","0","0","0","0","0","4","0.7","0.2","0.0%"
"78","Cam Grandy (CIN)","1","1","6","6.0","6","0","0","0","0","0","0","2","0.6","0.3","0.0%"
"79","Kylen Granson (PHI)","2","2","6","3.0","5","0","0","0","0","0","0","4","0.6","0.2","1.2%"
"80","Nate Adkins (DEN)","3","2","5","2.5","7","0","0","0","0","0","0","2","0.5","0.3","1.0%"
"81","Brevyn Spann-Ford (DAL)","2","1","3","3.0","3","0","0","0","0","0","0","4","0.3","0.1","0.0%"
"82","Kenny Yeboah (DET)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"83","Quintin Morris (JAC)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.4%"
"84","John Bates (WAS)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.6%"
"85","Jalin Conyers (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"86","Josh Whyle (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"87","Jake Briningstool (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"88","Donald Parham Jr. (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"89","Mitchell Fraboni (DEN)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"90","Matt Orzech (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"91","Feleipe Franks (ATL)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"92","Brevin Jordan (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"93","Harrison Bryant (HOU)","1","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"94","Josiah Deguara (ARI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"95","Lawrence Cager (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"96","Sean McKeon (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"97","Matt Sokol (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"98","Jared Wiley (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
